content;integritas;kapabilitas;empati;akseptabilitas;kontinuitas
"orang licik yang gak malu mencalonkan dirinya sebagai presiden Aburizal Bakrie emang binatang!""";1;0;0;0;0
licik aburizal bakrie ini;1;0;0;0;0
"Jokowi merakyat Jokowi memikirkan rakyat""";0;0;1;0;0
 hari ini Wiji Thukul berulang tahun. Neil Amstrong meninggal. Prabowo masih jadi idola.;1;0;0;0;0
pokoke jokowi konsisten deh terhadap rencananya apalagi di jkt dia sudah ada plannnya pasti di laksanakan#jakarta1;1;0;0;0;0
 Jokowi Tangguh (Indonesia Tangguh) #replacemovietitlewithjokowi #JokowiAhok @nafaurbach15;0;1;0;0;0
 Jusuf Kalla emang orang hebat deh;1;0;0;0;0
Jusuf Kalla emang hebat;1;0;0;0;0
 ...hebat Pak Jusuf Kalla.;1;0;0;0;0
@sarahafshol gerindra dan pdi. Partai2 besaaaaar >;0;0;0;0;0
"""@The_DarkPrince: bosan liat surya paloh kaya ngeliat SBY versi bewok--""""""""""";0;0;0;0;0
Barusan ketemu pak surya paloh di vivo city ternyata dia ramah orgnya. . .tak sesangar brewoknya. . .;1;0;0;0;0
"Jokowi teladan bagi seluruh Gubernur Indonesia.. ""Mendengarkan maslah rkyt bukan 3D: datang duduk duit!?""";1;0;1;0;0
 LSN: Prabowo dan Wiranto Calon Kuat Presiden 2014 metrotvn.ws/V162350;0;0;0;1;0
KNPI: Jokowi Teladan Bagi Pemuda Indonesia bit.ly/QQ0i5p;1;0;0;0;0
"Surya Paloh belum jadi pemimpin dan pejabat saja sdh bohong soal status nasdem gimana sdh jadi pejabat? Forget him !""";1;0;0;0;0
Agak-agak muak ngeliat iklannya ARB di tv..;0;0;0;0;0
Dan Aburizal Bakrie pencitraan terus di televisi. Bosan.;1;0;0;0;0
"Muak lihat iklan ARB :-& such a trash full of bullshit""";0;0;0;0;0
Contoh org yg tidak konsisten.. RT detikcom: Prabowo Akhirnya Dukung Dede Yusuf di Pilgub Jabar de.tk/e1wIB;1;0;0;0;0
32. Mahfud MD ini orang apa adanya. Tdk munafik. Konsisten. Satu kata dgn perbuatan. Saleh dan berakhlak mulia. Dia kerap jd imam & khatib;1;0;0;0;0
RT @TrioMacan2000: 32. Mahfud MD ini orang apa adanya. Tdk munafik. Konsisten. Satu kata dgn perbuatan. Saleh dan ... m.tmi.me/z3LZb;1;0;0;0;0
 Sekarang ada pak mahfud MD lg bernostalgia #SCTV sangat bersahaja cc: @TrioMacan2000;1;0;0;0;0
" @benhan ARB ngurusin lumpur dan nasabah asuransi nya aja ga becus boro2 mau jd presiden...""";0;1;0;0;0
Patut mnjd Panutan RT @Metro_TV: PPP: Mahfud Md Pejabat yang Sadar Diri metrotvn.ws/N115021;1;0;0;0;0
 Mahfud MD Dinilai Paling Jujur dan Bersih bit.ly/Tmzx9Z;1;0;0;0;0
"Dinilai Mirip Soekarno Jokowi Dinobatkan Sebagai Teladan Demokrasi de.tk/rwy4n via @detikforum""";1;0;0;0;0
 @NajwaShihab Jusuf Kalla adalah figur yg luwes namun sigap dlm memimpin;1;1;0;0;0
Tapi lbh bejat HAM prabowo! RT)hillarek)TrioMacan2000)korps08)aljufriAK)Edgar1107@kadafmuamar)Prabowo08 Amerika juga penjahat HAM;1;0;0;0;0
TrioMacan2000 eeee klo wiranto kau blom prnah ceritakn ttg wiranto. diskriminasi tokoh anda ini payah goblok;0;0;0;0;0
Pak Jokowi sigap sekali. Beliau membalas twit saya :);1;0;0;0;0
"Elektabilitas Aburizal Bakrie Rendah Pemicu Perpecahan di Golkar shar.es/hAjAa via)lensaindonesia""";0;0;0;0;0
Pak Jusuf kalla hebat !!;1;0;0;0;0
RT @nandapricilia: Bpk.Hatta Rajasa wibawa bangetlah.;1;0;0;0;0
"Tokoh2 karismatik JK Abraham Samad Dahlan Iskan n Mahfud MD @MataNajwa @Metro_TV""";1;0;0;0;0
"RT @oetjoet: Okelah semoga aj prabowo dan pasukannya semakin diktator dan bego. Presiden RI 2014 siapa saja boleh asal jgn prabowo. @ ...""";1;0;0;1;0
"Lg digebugin prabowo krn gagal mulu""@oetjoet: Dasar bego aksi @TrioMacan2000 balas jg kek dgn opini mana pasukan prabowo di twitland?""""""";0;0;0;0;0
"Test Drive Tucuxi Tindakan Dahlan Iskan Ceroboh bit.ly/VqjU3d""";1;0;0;0;0
"Hadapi Pemilu 2014 Megawati: Kader Lembek Pecat Saja de.tk/rfnYy""";0;1;0;0;0
"Ok ini untung jokowi sigap bgt ya:)""";0;1;0;0;0
Jokowi: Bantuan Kita Antar: Gubernur DKI Jokowi sigap untuk memberikan bantuan pada warga korban banjir... bit.ly/10wZewq;0;1;1;0;0
Surya Paloh bohong beberapa kali. Gerakan Perubahan ~~> Perubahan Gerakan. Seri ras pergula sabut Kaban Jahe.;1;0;0;0;0
"Sejauh ini pemimpin yg gw kenal ramah dan mau berbagi ilmu cuma Jokowi dan Jusuf Kalla""";1;0;0;0;0
Jokowi-Ahok beri teladan kepada masyarakat bit.ly/10Ln4os;1;0;0;0;0
 puk puk Surya Paloh. ingkar janji sih;1;0;0;0;0
Haha Surya Paloh gagal move on;0;0;0;0;0
Anas urbaningrum dan aburizal bakrie itu mukanya muka org licik bgt sih. Malesi.;1;0;0;0;0
 Jokowi Terlalu Tangguh untuk Dihadapi? kom.ps/ADtlYD lewat @kompasiana;0;1;0;0;0
Jokowi teladan bangsa.;1;0;0;0;0
"Demokrat di keroyok media( tv one milik ARB) dan metro milik surya paloh dan jg para politikus yg ingin PD hancur inilah konspirasi busuk""";1;0;0;0;0
"Munafik smua pejabat calon neraka.. RT @detikcom: Mahfud MD: Negarawan Harus Turun Benahi Negara Politikus ... m.tmi.me/MqNYk""";1;0;0;0;0
"Jokowi sigap banged stasiun transmisi langsung disiram kembang dikit lagi Half time.""";0;1;0;0;0
Ternyata cemoohan ke Prabowo mengalir deras pasca kunjungannya ke SBY ... Langkah yang ceroboh;1;0;0;0;0
buku dahlan iskan berwawasan bgt;1;0;0;0;0
@ratih_tikah itu adalah tidak becus n serakahnya menko kesra hatta rajasa yg serakah menggandeng menko & ketum PAN;1;0;0;0;0
Gerindra: Prabowo Kandidat Kuat di Pilpres 2014 #Berita #Kabar;0;0;0;1;0
 Prabowo calon kuat Pilpres 2014 - Waspada Online bit.ly/ZXfVzm;0;0;0;1;0
" Megawati Ical dan Prabowo Kandidat Kuat Capres 2014 Versi LSI kom.ps/AEHpHn""";0;0;0;1;0
"Prof. Mahfud MD akan memasuki masa pensiun terimakasih atas jasanya mengawal Konstitusi di Negara ini tetaplah jadi panutan!""";1;0;0;0;0
"Ringannya vonis dan perlakuan istimewa pengadilan thd Rasyid Rajasa gambaran seberapa rendah integritas moral Hatta Rajasa sang Capres !""";1;0;0;0;0
Megawati juga terus-menerus jadi Ketum PDIP untuk mencegah perpecahan internal. Kelemahan partai figur. Silakan tanya kadernya.;1;0;0;0;0
ARB dan PS tidak cocok untuk RI1;0;0;0;1;0
"Katanya ""cewe itu di pilih"" tp buktinya megawati ga menang tuh di pemilu 2004.""";1;0;0;0;0
"Masih banyak Capres yang masih serakah akan jabatan seperti: Megawati  Prabowo Subianto dan Aburizal Bakrie.""";1;0;0;0;0
"JK_Kita Salam Pak Jusuf Kalla yang penuh Karisma dan panutan bagi Pemuda Indonesia.""";1;0;0;0;0
#np Surya Paloh - Hatimu Palsu;1;0;0;0;0
"""@liputan6dotcom: Berhentikan Agus Marto SBY Angkat Hatta Rajasa jadi Plt Menkeu lp6.co/1rhh"""" Aaah orang2 ORBA emang serakah.""";1;0;0;0;0
"Makin serakah pemimpin skg RT @jokoanwar: Menko Perekonomian Hatta Rajasa diangkat jadi Menteri Keuangan juga. m.detik.com/finance/read/2? Ha?""";1;0;0;0;0
"Surya Paloh ngejilat ludah sendiri! Munafik! ""@TrioMacan2000: ga bisa dipercaya. Dulu saja sdh bohong ketika janji ga jadi partai ?";1;0;0;0;0
Sepertinya perolehan suara Gerindra bakal naik nih di 2014. Prabowo juga pandai lobi sana sini termasuk ke SBY.;0;1;0;0;0
"Mahfud MD: Saya Merasa Tidak Layak Jadi Presiden Tapi ? -portalkbr.com/berita/perbinc?@portalkbr""";0;1;0;0;0
Kader Gardu Prabowo Banting Kotoran Manusia ke Meja: Dasar pemimpin goblok. Tidak becus memimpin partai.... bit.ly/14GY6JA;1;1;0;0;0
Tiga Kelemahan Aburizal Bakrie republika.co.id/r/mm0oxc;1;0;0;0;0
"Gk akan menang dia jadi presiden.RT""@republikaonline: Tiga Kelemahan Aburizal Bakrie";1;0;0;1;0
Berarti benar ya)hansdavidian jika surya paloh tuh #munafiqqun berarti bisa juga #nasdem nanti munafik karna ketumnya surya paloh;1;0;0;0;0
"aburizalbakrie : hanya tipu muslihat angan2 terlalu jauh. selesiakan dulu dgn warga lapindo malah pikir yg fiksi dari pada fakta""";0;1;0;0;0
"Keterlaluan Pembajak ceroboh apa tdk ada akun lain yg lebih...RT)detikcom: Akun Twitter Hatta Rajasa Dibajak pu.is/de.tk/Db04""""""";0;0;0;0;0
"Woiiii RT @acenghusni: Maksod lo? RT @pandji: Namanya jg pemula masi bloon RT @Metro_TV: Ical dan Wiranto ... m.tmi.me/UnRtB""";1;0;0;0;0
"Prnh ada yg bilang kelemahan jusuf kalla itu ngomongnya sulit emg otak sama lidahnya gk singkron cepetan otakny""";1;0;0;0;0
"Tak Penuhi Undangan Komnas HAM Sebut Jokowi Tidak Konsisten de.tk/Fsu9N""";1;0;0;0;0
@IcalFadjroel No way? ARB menyelesaikan perkara LUMPUR LAPINDO saja tidak becus.;0;1;0;0;0
"entahlah pokok e bejat =D RT)revydc: Kasus 98 itu a?? RT)prisma_prily: prabowo iku luwih bejat (cont)tl""";1;0;0;0;0
Hatta Rajasa tidak cocok jadi presiden ri;0;1;0;0;0
"Ngurus anak sendiri aja nggak becus. RT)illiandeta: Hatta Rajasa..diurus nih ~> RT)kompascom: Dua Sekretaris DPD PAN Berkelahi Satu Tewas""";1;0;0;0;0
Unyu dan sok bloon . Pasti banyak dpt simpati RT @ninjaboy182: Pak wiranto kayaknya bakal niru gaya fatin yg ... m.tmi.me/WyEkH;1;0;0;0;0
@iznillahiftah iklan ARB paling meyakinkan sih.. Karismatik lagi wkwk;1;0;0;0;0
Selesaikan dulu mslh lumpur lapindo pak! Baru nyalon jd capres!! Hadeeeuuh org ga amanah gini ko mo jd pemimpin negeri #aburizal bakrie;0;1;0;0;0
Surya Paloh sangat karismatik;1;0;0;0;0
CALON PRESIDEN 2014: Jokowi Kandidat Paling Kuat dlvr.it/3SDC4s #banjir #gempa;1;0;0;0;0
 Jusuf Kalla Peduli Terhadap Perlindungan TKI fb.me/27er7M9gT;0;0;1;0;0
"OkaWijaya LOL.. Prabowo yg ceroboh om..""";1;0;0;0;0
Kepemimpinan Dahlan Iskan Dikagumi Awak BUMN | http://t.co/7LVcOh3nt3: http://t.co/EWiBU1GHX0;1;0;0;0;0
Yang saya tau bapak taufik kiemas ini bersih dari kasus-kasus... Tidak seperti istrinya (maaf) megawati soekarno puteri yg pro kontra;1;0;0;0;0
"mengikuti kuliaf Prof. Mahfud MD sosok yg sederhana sekali panutan :)""";1;0;0;0;0
"Pak Surya Paloh gak usah jadi capres.. Saya bikinin film Popeye jadi Brutus.. Mau ya ?""";0;1;0;0;0
Bapak Surya Paloh tetap pencitraan di televisi miliknya ditengah2 duka Taufik kiemas haha;1;0;0;0;0
"Tegar banget yaa yg namanya pemimpin ga pernah memperlihatkan kesedihnya di hadapan rakyatnya :) *liat ke arah Ibu Megawati Soekarno Putri*""";1;0;0;0;0
Bapak Dahlan Iskan sosok pribadi yang saaaangat ramah :) {};1;0;0;0;0
Hary Tanoe ingin menciptakan masyarakat yang bersatu adil dan bermoral Wiranto ingin menciptakan masyarakt yg sehat dan cerdas;0;1;0;0;0
"Ibu Megawati Soekarno Putri memang sosok yang tegar dan pemberani teguh pendirian""";1;0;0;0;0
 Pak Mahfud MD...salut salut salut....;1;0;0;0;0
Point plus tersendiri dr gw buat pak @/iskan_dahlan Yg gini yg patuh dicontoh   jadi panutan..;1;0;0;0;0
"Sosok yg merakyat RT @detikcom: Dahlan Iskan: Sang Pilar yang Teman Semua Orang http://t.co/VvuKi6NGaL via @detikfinance""";1;0;1;0;0
Ini yang disampaikan Taufiq Kiemas 3 bulan lalu: Dukung Mahfud MD Jadi Capres. http://t.co/IuzGeyWejV;0;0;0;1;0
"Pencitraan yang buruk! Gak ngefek! ???@clarabells7: Pencitraan""@FaktaKeren: Surya Paloh bernama lengkap Surya Dharma Paloh terlahir di Aceh""""""";1;0;0;0;0
@GolkarUnite @pandu_supanji kita dukung Wiranto Pemimpin Sejati Jendral Sejati bukan Jendral Salon juga bukan Jendral Sensasi;1;0;0;0;0
"Dua pengusaha sukses yang harus di jadikan panutan  yaitu Gubernur DKI Jakarta Bapak IR. Joko Widodo dan Mentri BUMN Bapak Dahlan Iskan""";1;0;0;0;0
"Gerindra sosok prabowo utk saat ini yg pling tepat memimpin NKRI Tegas Garang ditakuti elite partai manapun. Dia bukan otoriter tp tegas""";1;1;0;0;0
ARB ini gk akan menang di Pilpres.berani tarohan??;1;0;0;0;0
"akimalam_tvone Bang TeKa itu sosok sentral Bu Mega kehilangan pasti tapi Bu Mega bukan tipe politikus cengeng.""";1;0;0;0;0
"Pilpres jangan pilih Jokowi atau Gita wirajwan ya udah pasti makin bobrok negeri ini. jangan farhatt atau si surya paloh maupun arb""";0;0;0;1;0
Saya yakin Megawati Soekarno Putri tidak bakal menjadi capres 2014;0;0;0;1;0
"TrioMacan2000 kupas ARB aje Bosen lihat dia pencitraan mulu di TV""";1;0;0;0;0
" Baru bangun udah liat iklannya ARB  ah munafik !""";1;0;0;0;0
Bagus jg nih iklan kampanye wiranto. Ada tukang bubur hormat ama bendera. Realistis bgt!;1;0;0;0;0
pak @iskan_dahlan kami @perbasi_sby butuh pemimpin seperti bapak khususnya Jatim biar tangguh seperti kepemimpinan bapak dulu.;0;1;0;0;0
RT @nanda_voltage: Justru Wiranto yang dalam masa lalunya seorang pembunuh dan penculik. Digambarkan oleh @TrioMacan2000 orang baik-baik.;1;0;0;0;0
"Kepemimpinan fenomenal Dahlan Iskan atas BUMN. #Antara Pasar dan Politik 70 ribu http://t.co/uk1Z9cqVbh""";0;1;0;0;0
Dukung terus pak Hatta Rajasa RT @sahabathatta Parmusi Dukung Hatta Rajasa Sebagai Capres di Pilpres 2014 http://t.co/0nAMsMkX3G;0;0;0;1;0
Mari bersama2 dukung pak Hatta Rajasa RT @sahabathatta Parmusi Dukung Hatta Rajasa Sebagai Capres di Pilpres 2014 http://t.co/ooRbnBJo5U;0;0;0;1;0
"Banyak Para Elite politik yg lagi pencitraan yah --"" Yah sperti ARB Prabowo --""""   pasti narik simpatinya k calon pmilih baru. (anak muda)""";1;0;0;0;0
"Kekacauan ini semua cuma demi melancarkan jalan ARB di pilpres 2014 ntahlah semoga segera terbuka hati beliau  sama lapindo aja udh lupa..""";1;0;0;0;0
Surya Paloh: NASDEM OPOSISI DINAMIS ? SIAP KORUPSI @KalongMbengi: NASDEM jg PECUNDANG @bertus_Aryadavi: Se7 Re: ... http://t.co/BUliSxgBgL;1;0;0;0;0
"Wiranto ngomong hentikan korupsi pake baju silat. Oh inovasi baru yang korupsi disilat aja. #mm #bebasbro""";0;1;0;0;0
"Paling mending drpd ARB atw surya paloh kyny ""@TrioMacan2000 Prof Mohammad Mahfud MD Capres Terbaik 2014 By http://t.co/m8LbAISwRN""";1;0;0;0;0
"Kasian @iskan_dahlan hidupnya penuh kepalsuan hanya demi PENCITRAAN!""";1;0;0;0;0
"wiranto1947 Selamat pagi Pak Wiranto biaya negara ini jadi tinggi karena korupsi. Apa yg bisa dibuat Hanura pak""";0;1;0;0;0
Pencitraan beeeud!! *cape deee.. RT @Metro_TV: Dahlan Iskan Pastikan BUMN Bantu Pendanaan Pelatnas http://t.co/wv6YW9CKG2;1;1;0;0;0
"ICAL pencitraan di media terus padahal Lapindo belum beres @despar54 @eddies_song @MandryGary""";0;1;0;0;0
"Diserukan pada Sukarnois-Sukarnois Muda untuk Mendukung Megajo (Megawati-Jokowi) dalam Pemilu 2014. Barisan... http://t.co/s6l569nJZN""";0;0;0;1;0
"banyak yg berharap ia dapat jadi panutan  !  RT  @kompasiana: Jokowi Dambaan Rakyat Menjadi Presiden http://t.co/Vpje5oNNLV""";1;0;0;0;0
Jokowi ! Joko Widodo ! JOKO WOW ..... Tokoh Panutan Saya ! Jarang ada orang kayak Jokowow yg satu ini !;1;0;0;0;0
Sederhana dan humoris inilah yg membuat Jokowi dan Dahlan Iskan dekat dengan rakyat cuma 2 sosok ini yg greget buat pilpres 2014~;1;0;0;0;0
" Jokowi pun jadi Panutan  http://t.co/vs533YztiS""";1;0;0;0;0
@detikcom Tindakan Jokowi Gelar PRJ Monas 14-16 Juni (tandingan) menunjukkan bahwa Jokowi itu bukan seorang pemimpin panutan.;0;1;0;0;0
Jika di era presiden Megawati KPK yg ada awal pemberantasan korupsi sistemis didirikan. Di era presiden SBY gerakan anti korupsi berjal...;0;1;0;0;0
Jadi pemimpin negeri ini tidak perlu Pencitraan yg slalu diikuti oleh media namun butuh pemimpin yg tegas itu ada di Bpk Prabowo Subianto.;0;1;0;0;0
Wakil Jokowi boleh Ahok boleh juga Dahlan Iskan  pasti hebat deh...;0;0;0;1;0
"Buat panutan kami pak @jokowi_do2 biar generasimuda termotivasi""@Ahok_BasukiTP: ""Jokowi Malu ms Kecilnya Difilmkan. http://t.co/LgIQrEA8KZ""""";1;0;0;0;0
RT @marioaditya: Jangan Dukung Aburizal Bakrie jadi presiden suruh benerin dulu tuh lapindo...;0;1;0;0;0
@TrioMacan2000 brusan liat Mata Najwa.. terkagum liat integritas pak mahfud MD.;1;0;0;0;0
Asik! RT @marioaditya: Jangan Dukung Aburizal Bakrie jadi presiden suruh benerin dulu tuh lapindo...;0;1;0;0;0
kampanye aja kerja sikawan ini RT @Reijvrain: walaupun berbeda-beda suku agama tapi tetap Prabowo Subianto for presiden!! ;1;0;0;0;0
Pengen cepet 2014 pemilu presiden n nyoblos mahfud md.;0;0;0;1;0
Padahal kalo diliat kandidat yg paling kredibel bersih dan punya integritas untuk mimpin bangsa ini di 2014 ya msh Pak Mahfud MD/Jokowi.;1;1;0;0;0
Salut sama pak Mahfud MD. Sosok dengan integritas tinggi.;1;0;0;0;0
"Mahfud angkatan kita? Doyan ngaji ""@faridrach: Salut sama pak Mahfud MD. Sosok dengan integritas tinggi.""";1;0;0;0;0
Dahlan iskan it kan?:p@rflyzlrstra: Orang yg hebat tidak dihasilkan melalui kemudahan kesenangan dan kenyamanan. ;1;0;0;0;0
@Prabowo08 luar biasa sangat kuat dan sigap. impresinya selalu seperti itu ketika dengar nama Prabowo Subianto;1;1;0;0;0
ARB ni semacam pencitraan banget deh...;1;0;0;0;0
Liat pak Surya Paloh jas berdasi dg brewok dicukur keliatan gagah   pas bener2 sosok Ketua Nasdem di pertemuan Pemred di Bali..;1;0;0;1;0
Hikmah bangun pagi : Liat iklan Wiranto pake baju karate ngomongin soal anti korupsi.. Dunia semakin gila;0;1;0;0;0
RT @aulmuh: Eh budiono itu masih ada ga sih? Jadi kangen sosok jusuf kalla;1;0;0;0;0
Gagal presiden tambah bangkrutRT @CiputraWay: Aburizal Bakrie Berada Di Ambang Kebangkrutan http://t.co/76FwLKy9I6;1;0;0;0;0
"WIRANTO Yg terbukti bersih Korupsi @jokowi_do2 @Prabowo08 @pramonoanung @anismatta. @wiranto1947 @aburizalbakrie @hatarajasa @GWirjawan""";1;0;0;0;0
11. Habis itu ada Dahlan iskan juga yang sepertinya sedang asik blusukan untuk pencitraan...;0;1;0;0;0
"iklan ARB ""jangan pernah hianati indonesia"" kalau sekedar korupsi boleh dong..??#harapankoruptor";1;0;0;0;0
menurut teori komunikasi sih sesering apapun ARB muncul di tv gak akan mempengaruhi suara yang memilih waktu pemilu;1;0;0;0;0
Prabowo sama Wiranto masih berani-beraninya nyalonin diri jd capres 2014. Yg gini-gini yg bikin negara makin ga beres.;1;0;0;0;0
kalo gua bisa milih presiden dan wakil nya nanti di pemilu 2014 gua mau Pak Mahfud MD dan Pak Abraham Samad.;0;0;0;1;0
"Dari dulu mpe sekarang kalo Pak Jusuf Kalla emang tokoh idola aku sih... Cerdas bijaksana tetep semangat n low profile nya itu lhoohhh :D""";1;0;0;0;0
Meniru kesederhanaan dan kedermawanan sosok Jusuf kalla JK.;1;0;0;0;0
Jusuf kalla pencitraan ini mah..;1;0;0;0;0
"Jusuf Kalla sosok yang jauh berbeda dengan wakil presiden kita yg sekarang. Yang cuma gak beda jauh sama manequin.""";1;0;0;0;0
"Jusuf Kalla sosok yang penuh kesederhanaan. Kagum terhadap beliau :)""";1;0;0;0;0
"HitamPutihT7 Bapak Jusuf Kalla jadikan panutan agar bisa mengendalikan KORUPSI di indonesia ini. Hidup yg SEDERHANA bs mngndlkn KORUPSI:)""";1;0;0;0;0
 waaaa ! pak jusuf kalla idola kuuu sejak dulu kala !;1;0;0;0;0
Pak jusuf kalla hebat :));1;0;0;0;0
@HitamPutihT7 salut banget sama pak Jusuf Kalla.. Panutan banget sifat sederhana dan kedermawananya :);1;0;0;0;0
"Kenapa jusuf kalla ngomongnya ngelantur - udah tua mungkin buat apa juga dia korupsi bau tanah sudah.""";1;0;0;0;0
Ada si Sosok kharismatik Bapak Jusuf Kalla at @HitamPutihT7 :);1;0;0;0;0
Hebat nih pak jusuf kalla :D;1;0;0;0;0
Bapak Jusuf Kalla pemimpin yg cerdas dan bijaksana;1;0;0;0;0
Jusuf kalla bijak :);1;0;0;0;0
"Pencitraan @NuyuySapitri: Pak Jusuf Kalla aja beli sepokatnya dicibaduyut :D""";1;0;0;0;0
Jusuf Kalla bijak broo orangnya...;1;0;0;0;0
Dengerin tuh kata pak jusuf kalla pencitraan itu kata yang tak terealisasi;1;0;0;0;0
Ketika Lumpur Lapindo tak kunjung berakhir. Aburizal Bakrie ingin jadi PRESIDEN (?) Hallow!!!;0;1;0;0;0
"yeey dukung pak JK jd capres 2014 :D RT @Ilna_prince : Yah..maybe :) RT""linathr: persiapan utk calon presiden taon dpn tawwa kak :D";0;0;0;1;0
Kagum dg sosok Jusuf Kalla @HitamPutihT7 @Trans7  keep on low profile ;1;0;0;0;0
@KemalSevilla JK - Mahfud MD pasangan ideal 2014- 2019 KALAU ORANG INDONESIA SUDAH CERDAS;0;0;0;1;0
Capres terbaik @Pak_JK brusan nyanyi di program #HitamPutih cc: @TrioMacan2000;1;0;0;0;0
@hitamputihT7 wah pak jusuf kalla nyanyi hebat juga:-) hari ini temanya sangat bagus.;1;0;0;0;0
@Pak_JK 2014 maju lagi donk jadi capres;1;0;0;0;0
"capres yg tepat 2014 inisial JW tepatnya Jenderal Wiranto""";0;0;0;1;0
"pinkykriwil @PamanBreakNews @PKSejahtera haha ARB lagi sibuk bikin iklan pencitraan di TVone  ANTV brooo harap maklum katanya !!!!""";1;0;0;0;0
@iskan_dahlan swasembada gula...tebu? Susah Pak! Aren? Hebat Pak!;0;1;0;0;0
"TrioMacan2000 Saya rasa Mahmud MD dan Dahlan iskan merupakan duet yang idel capres dan cawapres 2014 saya yakin mereka mampu. Gmn can?""";0;1;0;1;0
"Jokowi mah Tampangnya Katrok RT @TrioMacan2000: Jokowi cerdas manfaatkan para pihak hehe Æ’??@FaisolTresna: Jokowi Gak Seidiot Itu@TrioMacan20""";1;0;0;0;0
"Tirulah sifat aburizal bakrie. Ya sifat optimisme tinggi untuk menjadi presiden Indonesia 2014 :))""";1;0;0;0;0
Wangsitnya 'kamu pasti gagal jadi presiden' RT @VIVAnews: Aburizal Bakrie Ziarah ke Makam Guru Pendiri NU http://t.co/oDU3YDKTG0;1;0;0;0;0
Org bego jg tau klo buat kampanye pencitraan .. RT @VIVAnews: Hatta Rajasa: BBM Naik demi Ketahanan Energi Nasional http://t.co/z1N4Mlkesh;1;1;0;0;0
"Jujur seperti  Katakan hitam bila memang hitam katakan putih jika memang putih... (Surya paloh)""";1;0;0;0;0
"Panutan politikus saya cuma bapak Jusuf Kallayg lain mah entahlah ga percaya :/""";1;0;0;0;0
"Setuju sister Kemana Keadilan, Kemana Kebesan Masyarakat Indonesia? Hukum Disumpal Dengan Uang. Kami Rindu Sosok Soekarna Kecil Bapak Prabowo""";1;0;0;0;0
@iskan_dahlan @abramantyo kpn pak Dahlan sbg speaker lg di seminar/diskusi publik? Slmt maju jd capres ya kami dukung.bls ya pak;1;0;0;1;0
"Pak SBY usul Capres 2014 pak Dahlan Iskan aja bpk sdh memilih pak Dahlan Iskan jd dirut PLN Mentri BUMN selanjutnya Capres Dahlan Iskan ya""";0;0;0;1;0
