content;integritas;kapabilitas;empati;akseptabilitas;kontinuitas;;;;
Contoh org yg tidak konsisten.. RT detikcom: Prabowo Akhirnya Dukung Dede Yusuf di Pilgub Jabar de.tk/e1wIB;0;-1;-1;-1;-1;;;;
32. Mahfud MD ini orang apa adanya. Tdk munafik. Konsisten. Satu kata dgn perbuatan. Saleh dan berakhlak mulia. Dia kerap jd imam & khatib;1;-1;-1;-1;-1;;;;
RT @TrioMacan2000: 32. Mahfud MD ini orang apa adanya. Tdk munafik. Konsisten. Satu kata dgn perbuatan. Saleh dan ... m.tmi.me/z3LZb;1;-1;-1;-1;-1;;;;
 Sekarang ada pak mahfud MD lg bernostalgia #SCTV sangat bersahaja cc: @TrioMacan2000;1;-1;-1;-1;-1;;;;
" @benhan ARB ngurusin lumpur dan nasabah asuransi nya aja ga becus boro2 mau jd presiden...""";-1;0;-1;-1;-1;;;;
Patut mnjd Panutan RT @Metro_TV: PPP: Mahfud Md Pejabat yang Sadar Diri metrotvn.ws/N115021;1;-1;-1;-1;-1;;;;
 Mahfud MD Dinilai Paling Jujur dan Bersih bit.ly/Tmzx9Z;1;-1;-1;-1;-1;;;;
"Dinilai Mirip Soekarno Jokowi Dinobatkan Sebagai Teladan Demokrasi de.tk/rwy4n via @detikforum""";1;-1;-1;-1;-1;;;;
 @NajwaShihab Jusuf Kalla adalah figur yg luwes namun sigap dlm memimpin;1;1;-1;-1;-1;;;;
Tapi lbh bejat HAM prabowo! RT)hillarek)TrioMacan2000)korps08)aljufriAK)Edgar1107@kadafmuamar)Prabowo08 Amerika juga penjahat HAM;0;-1;-1;-1;-1;;;;
TrioMacan2000 eeee klo wiranto kau blom prnah ceritakn ttg wiranto. diskriminasi tokoh anda ini payah goblok;-1;-1;-1;-1;-1;;;;
Pak Jokowi sigap sekali. Beliau membalas twit saya :);1;-1;-1;-1;-1;;;;
"Elektabilitas Aburizal Bakrie Rendah Pemicu Perpecahan di Golkar shar.es/hAjAa via)lensaindonesia""";-1;-1;-1;-1;-1;;;;
Pak Jusuf kalla hebat !!;1;-1;-1;-1;-1;;;;
RT @nandapricilia: Bpk.Hatta Rajasa wibawa bangetlah.;1;-1;-1;-1;-1;;;;
"Tokoh2 karismatik JK Abraham Samad Dahlan Iskan n Mahfud MD @MataNajwa @Metro_TV""";1;-1;-1;-1;-1;;;;
"RT @oetjoet: Okelah semoga aj prabowo dan pasukannya semakin diktator dan bego. Presiden RI 2014 siapa saja boleh asal jgn prabowo. @ ...""";0;-1;-1;0;-1;;;;
"Lg digebugin prabowo krn gagal mulu""@oetjoet: Dasar bego aksi @TrioMacan2000 balas jg kek dgn opini mana pasukan prabowo di twitland?""""""";-1;-1;-1;-1;-1;;;;
"Test Drive Tucuxi Tindakan Dahlan Iskan Ceroboh bit.ly/VqjU3d""";0;-1;-1;-1;-1;;;;
"Hadapi Pemilu 2014 Megawati: Kader Lembek Pecat Saja de.tk/rfnYy""";-1;0;-1;-1;-1;;;;
"Ok ini untung jokowi sigap bgt ya:)""";-1;1;-1;-1;-1;;;;
Jokowi: Pukul 01.00 WIB pun Bantuan Kita Antar: Gubernur DKI Jokowi sigap untuk memberikan bantuan pada warga ko... bit.ly/10wZewq;-1;1;1;-1;-1;;;;
Surya Paloh bohong beberapa kali. Gerakan Perubahan ~~> Perubahan Gerakan. Seri ras pergula sabut Kaban Jahe.;0;-1;-1;-1;-1;;;;
"Sejauh ini pemimpin yg gw kenal ramah dan mau berbagi ilmu cuma Jokowi dan Jusuf Kalla""";1;-1;-1;-1;-1;;;;
Jokowi-Ahok beri teladan kepada masyarakat bit.ly/10Ln4os;1;-1;-1;-1;-1;;;;
 puk puk Surya Paloh. ingkar janji sih;0;-1;-1;-1;-1;;;;
Haha Surya Paloh gagal move on;-1;-1;-1;-1;-1;;;;
Anas urbaningrum dan aburizal bakrie itu mukanya muka org licik bgt sih. Malesi.;0;-1;-1;-1;-1;;;;
 Jokowi Terlalu Tangguh untuk Dihadapi? kom.ps/ADtlYD lewat @kompasiana;-1;1;-1;-1;-1;;;;
Jokowi teladan bangsa.;1;-1;-1;-1;-1;;;;
"Demokrat di keroyok media( tv one milik ARB) dan metro milik surya paloh dan jg para politikus yg ingin PD hancur inilah konspirasi busuk""";0;-1;-1;-1;-1;;;;
"Munafik smua pejabat calon neraka.. RT @detikcom: Mahfud MD: Negarawan Harus Turun Benahi Negara Politikus ... m.tmi.me/MqNYk""";0;-1;-1;-1;-1;;;;
"Jokowi sigap banged stasiun transmisi langsung disiram kembang dikit lagi Half time.""";-1;1;-1;-1;-1;;;;
Ternyata cemoohan ke Prabowo mengalir deras pasca kunjungannya ke SBY ... Langkah yang ceroboh;0;-1;-1;-1;-1;;;;
buku dahlan iskan berwawasan bgt;1;-1;-1;-1;-1;;;;
@ratih_tikah itu adalah tidak becus n serakahnya menko kesra hatta rajasa yg serakah menggandeng menko & ketum PAN;0;-1;-1;-1;-1;;;;
Gerindra: Prabowo Kandidat Kuat di Pilpres 2014 #Berita #Kabar;-1;-1;-1;1;-1;;;;
 Prabowo calon kuat Pilpres 2014 - Waspada Online bit.ly/ZXfVzm;-1;-1;-1;1;-1;;;;
" Megawati Ical dan Prabowo Kandidat Kuat Capres 2014 Versi LSI kom.ps/AEHpHn""";-1;-1;-1;1;-1;;;;
"Prof. Mahfud MD akan memasuki masa pensiun terimakasih atas jasanya mengawal Konstitusi di Negara initetaplah jadi panutan!""";1;-1;-1;-1;-1;;;;
"Ringannya vonis dan perlakuan istimewa pengadilan thd Rasyid Rajasa gambaran seberapa rendah integritas moral Hatta Rajasa sang Capres !""";0;-1;-1;-1;-1;;;;
Megawati juga terus-menerus jadi Ketum PDIP untuk mencegah perpecahan internal. Kelemahan partai figur. Silakan tanya kadernya.;0;-1;-1;-1;-1;;;;
ARB dan PS tidak cocok untuk RI1;-1;-1;-1;0;-1;;;;
"Katanya ""cewe itu di pilih"" tp buktinya megawati ga menang tuh di pemilu 2004.""";0;-1;-1;-1;-1;;;;
"Masih banyak Capres yang masih serakah akan jabatan seperti: Megawati  Prabowo Subianto dan Aburizal Bakrie.""";0;-1;-1;-1;-1;;;;
"JK_Kita Salam Pak Jusuf Kalla yang penuh Karisma dan panutan bagi Pemuda Indonesia.""";1;-1;-1;-1;-1;;;;
#np Surya Paloh - Hatimu Palsu;0;-1;-1;-1;-1;;;;
"""@liputan6dotcom: Berhentikan Agus Marto SBY Angkat Hatta Rajasa jadi Plt Menkeu lp6.co/1rhh"""" Aaah orang2 ORBA emang serakah.""";0;-1;-1;-1;-1;;;;
"Makin serakah pemimpin skg RT @jokoanwar: Menko Perekonomian Hatta Rajasa diangkat jadi Menteri Keuangan juga. m.detik.com/finance/read/2? Ha?""";0;-1;-1;-1;-1;;;;
"Surya Paloh ngejilat ludah sendiri! Munafik! ""@TrioMacan2000: ga bisa dipercaya. Dulu saja sdh bohong ketika janji ga jadi partai ?";0;-1;-1;-1;-1;;;;
Sepertinya perolehan suara Gerindra bakal naik nih di 2014. Prabowo juga pandai lobi sana sini termasuk ke SBY.;-1;1;-1;-1;-1;;;;
"Mahfud MD: Saya Merasa Tidak Layak Jadi Presiden Tapi ? -portalkbr.com/berita/perbinc?@portalkbr""";-1;0;-1;-1;-1;;;;
"Kader Gardu Prabowo Banting Kotoran Manusia ke Meja: &quot;Dasar pemimpin goblok. Tidak becus memimpin partai.... bit.ly/14GY6JA";0;0;-1;-1;-1;;;;
Tiga Kelemahan Aburizal Bakrie republika.co.id/r/mm0oxc;0;-1;-1;-1;-1;;;;
"Gk akan menang dia jadi presiden.RT""@republikaonline: Tiga Kelemahan Aburizal Bakrie";0;-1;-1;0;-1;;;;
Berarti benar ya)hansdavidian jika surya paloh tuh #munafiqqun berarti bisa juga #nasdem nanti munafik karna ketumnya surya paloh;0;-1;-1;-1;-1;;;;
"aburizalbakrie : hanya tipu muslihat angan2 terlalu jauh. selesiakan dulu dgn warga lapindo malah pikir yg fiksi dari pada fakta""";-1;0;-1;-1;-1;;;;
"Keterlaluan Pembajak ceroboh apa tdk ada akun lain yg lebih...RT)detikcom: Akun Twitter Hatta Rajasa Dibajak pu.is/de.tk/Db04""""""";-1;-1;-1;-1;-1;;;;
"Woiiii RT @acenghusni: Maksod lo? RT @pandji: Namanya jg pemula masi bloon RT @Metro_TV: Ical dan Wiranto ... m.tmi.me/UnRtB""";0;-1;-1;-1;-1;;;;
"Prnh ada yg bilang kelemahan jusuf kalla itu ngomongnya sulit emg otak sama lidahnya gk singkron cepetan otakny""";0;-1;-1;-1;-1;;;;
"Tak Penuhi Undangan Komnas HAM Sebut Jokowi Tidak Konsisten de.tk/Fsu9N""";0;-1;-1;-1;-1;;;;
@IcalFadjroel No way? ARB menyelesaikan perkara LUMPUR LAPINDO saja tidak becus.;-1;0;-1;-1;-1;;;;
"entahlah pokok e bejat =D RT)revydc: Kasus 98 itu a?? RT)prisma_prily: prabowo iku luwih bejat (cont)tl""";0;-1;-1;-1;-1;;;;
Hatta Rajasa tidak cocok jadi presiden ri;-1;0;-1;-1;-1;;;;
"Ngurus anak sendiri aja nggak becus. RT)illiandeta: Hatta Rajasa..diurus nih ~> RT)kompascom: Dua Sekretaris DPD PAN Berkelahi Satu Tewas""";0;-1;-1;-1;-1;;;;
Unyu dan sok bloon . Pasti banyak dpt simpati RT @ninjaboy182: Pak wiranto kayaknya bakal niru gaya fatin yg ... m.tmi.me/WyEkH;0;-1;-1;-1;-1;;;;
@iznillahiftah iklan ARB paling meyakinkan sih.. Karismatik lagi wkwk;1;-1;-1;-1;-1;;;;
Selesaikan dulu mslh lumpur lapindo pak! Baru nyalon jd capres!! Hadeeeuuh org ga amanah gini ko mo jd pemimpin negeri #aburizal bakrie;-1;0;-1;-1;-1;;;;
Surya Paloh sangat karismatik;1;-1;-1;-1;-1;;;;
CALON PRESIDEN 2014: Jokowi Kandidat Paling Kuat dlvr.it/3SDC4s #banjir #gempa;1;-1;-1;-1;-1;;;;
 Jusuf Kalla Peduli Terhadap Perlindungan TKI fb.me/27er7M9gT;-1;-1;1;-1;-1;;;;
"OkaWijaya LOL.. Prabowo yg ceroboh om..""";0;-1;-1;-1;-1;;;;
Kepemimpinan Dahlan Iskan Dikagumi Awak BUMN | http://t.co/7LVcOh3nt3: http://t.co/EWiBU1GHX0;1;-1;-1;-1;-1;;;;
Yang saya tau bapak taufik kiemas ini bersih dari kasus-kasus... Tidak seperti istrinya (maaf) megawati soekarno puteri yg pro kontra;0;-1;-1;-1;-1;;;;
"mengikuti kuliaf Prof. Mahfud MD sosok yg sederhana sekali panutan :)""";1;-1;-1;-1;-1;;;;
"Pak Surya Paloh gak usah jadi capres.. Saya bikinin film Popeye jadi Brutus.. Mau ya ?""";-1;0;-1;-1;-1;;;;
Bapak Surya Paloh tetap pencitraan di televisi miliknya ditengah2 duka Taufik kiemas haha;0;-1;-1;-1;-1;;;;
"Tegar banget yaa yg namanya pemimpin ga pernah memperlihatkan kesedihnya di hadapan rakyatnya :) *liat ke arah Ibu Megawati Soekarno Putri*""";1;-1;-1;-1;-1;;;;
Bapak Dahlan Iskan sosok pribadi yang saaaangat ramah :) {};1;-1;-1;-1;-1;;;;
Hary Tanoe ingin menciptakan masyarakat yang bersatu adil dan bermoral Wiranto ingin menciptakan masyarakt yg sehat dan cerdas;-1;1;-1;-1;-1;;;;
"Ibu Megawati Soekarno Putri memang sosok yang tegar dan pemberani teguh pendirian""";1;-1;-1;-1;-1;;;;
 Pak Mahfud MD...salut salut salut....;1;-1;-1;-1;-1;;;;
Point plus tersendiri dr gw buat pak @/iskan_dahlan Yg gini yg patuh dicontoh   jadi panutan..;1;-1;-1;-1;-1;;;;
"Sosok yg merakyat RT @detikcom: Dahlan Iskan: Sang Pilar yang Teman Semua Orang http://t.co/VvuKi6NGaL via @detikfinance""";1;-1;1;-1;-1;;;;
Ini yang disampaikan Taufiq Kiemas 3 bulan lalu: Dukung Mahfud MD Jadi Capres. http://t.co/IuzGeyWejV;-1;-1;-1;1;-1;;;;
"Pencitraan yang buruk! Gak ngefek! Æ’??@clarabells7: Pencitraan""@FaktaKeren: Surya Paloh bernama lengkap Surya Dharma Paloh terlahir di Aceh""""""";0;-1;-1;-1;-1;;;;
@GolkarUnite @pandu_supanji kita dukung Wiranto Pemimpin Sejati Jendral Sejati bukan Jendral Salon juga bukan Jendral Sensasi;1;-1;-1;-1;-1;;;;
"Dua pengusaha sukses yang harus di jadikan panutan  yaitu Gubernur DKI Jakarta Bapak IR. Joko Widodo dan Mentri BUMN Bapak Dahlan Iskan""";1;-1;-1;-1;-1;;;;
"Gerindra sosok prabowo utk saat ini yg pling tepat memimpin NKRI Tegas Garang ditakuti elite partai manapun. Dia bukan otoriter tp tegas""";1;1;-1;-1;-1;;;;
ARB ini gk akan menang di Pilpres.berani tarohan??;0;-1;-1;-1;-1;;;;
"akimalam_tvone Bang TeKa itu sosok sentral Bu Mega kehilangan pasti tapi Bu Mega bukan tipe politikus cengeng.""";1;-1;-1;-1;-1;;;;
"Pilpres jangan pilih Jokowi atau Gita wirajwan ya udah pasti makin bobrok negeri ini. jangan farhatt atau si surya paloh maupun arb""";-1;-1;-1;0;-1;;;;
Saya yakin Megawati Soekarno Putri tidak bakal menjadi capres 2014;-1;-1;-1;0;-1;;;;
"TrioMacan2000 kupas ARB aje Bosen lihat dia pencitraan mulu di TV""";0;-1;-1;-1;-1;;;;
" Baru bangun udah liat iklannya ARB  ah munafik !""";0;-1;-1;-1;-1;;;;
Bagus jg nih iklan kampanye wiranto. Ada tukang bubur hormat ama bendera. Realistis bgt!;1;-1;-1;-1;-1;;;;
pak @iskan_dahlan kami @perbasi_sby butuh pemimpin seperti bapak khususnya Jatim biar tangguh seperti kepemimpinan bapak dulu.;-1;1;-1;-1;-1;;;;
RT @nanda_voltage: Justru Wiranto yang dalam masa lalunya seorang pembunuh dan penculik. Digambarkan oleh @TrioMacan2000 orang baik-baik.;0;-1;-1;-1;-1;;;;
"Kepemimpinan fenomenal Dahlan Iskan atas BUMN. #Antara Pasar dan Politik 70 ribu http://t.co/uk1Z9cqVbh""";-1;1;-1;-1;-1;;;;
Dukung terus pak Hatta Rajasa RT @sahabathatta Parmusi Dukung Hatta Rajasa Sebagai Capres di Pilpres 2014 http://t.co/0nAMsMkX3G;-1;-1;-1;1;-1;;;;
Mari bersama2 dukung pak Hatta Rajasa RT @sahabathatta Parmusi Dukung Hatta Rajasa Sebagai Capres di Pilpres 2014 http://t.co/ooRbnBJo5U;-1;-1;-1;1;-1;;;;
"Banyak Para Elite politik yg lagi pencitraan yah --"" Yah sperti ARB Prabowo --""""   pasti narik simpatinya k calon pmilih baru. (anak muda)""";0;-1;-1;-1;-1;;;;
"Kekacauan ini semua cuma demi melancarkan jalan ARB di pilpres 2014 ntahlah semoga segera terbuka hati beliau  sama lapindo aja udh lupa..""";0;-1;-1;-1;-1;;;;
Surya Paloh: NASDEM OPOSISI DINAMIS ? SIAP KORUPSI @KalongMbengi: NASDEM jg PECUNDANG @bertus_Aryadavi: Se7 Re: ... http://t.co/BUliSxgBgL;0;-1;-1;-1;-1;;;;
"Wiranto ngomong hentikan korupsi pake baju silat. Oh inovasi baru yang korupsi disilat aja. #mm #bebasbro""";-1;1;-1;-1;-1;;;;
"Paling mending drpd ARB atw surya paloh kyny ""@TrioMacan2000 Prof Mohammad Mahfud MD Capres Terbaik 2014 By http://t.co/m8LbAISwRN""";1;-1;-1;-1;-1;;;;
"Kasian @iskan_dahlan hidupnya penuh kepalsuan hanya demi PENCITRAAN!""";0;-1;-1;-1;-1;;;;
"wiranto1947 Selamat pagi Pak Wiranto biaya negara ini jadi tinggi karena korupsi. Apa yg bisa dibuat Hanura pak""";-1;0;-1;-1;-1;;;;
Pencitraan beeeud!! *cape deee.. RT @Metro_TV: Dahlan Iskan Pastikan BUMN Bantu Pendanaan Pelatnas http://t.co/wv6YW9CKG2;0;1;-1;-1;-1;;;;
"ICAL pencitraan di media terus padahal Lapindo belum beres @despar54 @eddies_song @MandryGary""";-1;0;-1;-1;-1;;;;
"Diserukan pada Sukarnois-Sukarnois Muda untuk Mendukung Megajo (Megawati-Jokowi) dalam Pemilu 2014. Barisan... http://t.co/s6l569nJZN""";-1;-1;-1;1;-1;;;;
"banyak yg berharap ia dapat jadi panutan  !  RT  @kompasiana: Jokowi Dambaan Rakyat Menjadi Presiden http://t.co/Vpje5oNNLV""";1;-1;-1;-1;-1;;;;
Jokowi ! Joko Widodo ! JOKO WOW ..... Tokoh Panutan Saya ! Jarang ada orang kayak Jokowow yg satu ini !;1;-1;-1;-1;-1;;;;
Sederhana dan humoris inilah yg membuat Jokowi dan Dahlan Iskan dekat dengan rakyat cuma 2 sosok ini yg greget buat pilpres 2014~;1;-1;-1;-1;-1;;;;
"  ""Anak Muda Semakin Tertarik Politik Jokowi pun jadi Panutan  http://t.co/vs533YztiS""";1;-1;-1;-1;-1;;;;
@detikcom Tindakan Jokowi Gelar PRJ Monas 14-16 Juni (tandingan) menunjukkan bahwa Jokowi itu bukan seorang pemimpin panutan.;-1;0;-1;-1;-1;;;;
Jika di era presiden Megawati KPK yg ada awal pemberantasan korupsi sistemis didirikan. Di era presiden SBY gerakan anti korupsi berjal...;-1;0;-1;-1;-1;;;;
Jadi pemimpin negeri ini tidak perlu Pencitraan yg slalu diikuti oleh media namun butuh pemimpin yg tegas itu ada di Bpk Prabowo Subianto.;-1;1;-1;-1;-1;;;;
Wakil Jokowi boleh Ahok boleh juga Dahlan Iskan  pasti hebat deh...;-1;-1;-1;1;-1;;;;
"Buat panutan kami pak @jokowi_do2 biar generasimuda termotivasi""@Ahok_BasukiTP: ""Jokowi Malu ms Kecilnya Difilmkan. http://t.co/LgIQrEA8KZ""""";1;-1;-1;-1;-1;;;;
RT @marioaditya: Jangan Dukung Aburizal Bakrie jadi presiden suruh benerin dulu tuh lapindo...;-1;0;-1;-1;-1;;;;
@TrioMacan2000 brusan liat Mata Najwa.. terkagum liat integritas pak mahfud MD.;1;-1;-1;-1;-1;;;;
Asik! RT @marioaditya: Jangan Dukung Aburizal Bakrie jadi presiden suruh benerin dulu tuh lapindo...;-1;0;-1;-1;-1;;;;
kampanye aja kerja sikawan ini RT @Reijvrain: walaupun berbeda-beda suku agama tapi tetap Prabowo Subianto for presiden!! kalau bukan 2014;1;-1;-1;-1;-1;;;;
Pengen cepet 2014 pemilu presiden n nyoblos mahfud md.;-1;-1;-1;1;-1;;;;
Padahal kalo diliat kandidat yg paling kredibel bersih dan punya integritas untuk mimpin bangsa ini di 2014 ya msh Pak Mahfud MD/Jokowi.;1;1;-1;-1;-1;;;;
Salut sama pak Mahfud MD. Sosok dengan integritas tinggi.;1;-1;-1;-1;-1;;;;
"Mahfud angkatan kita? Doyan ngaji ""@faridrach: Salut sama pak Mahfud MD. Sosok dengan integritas tinggi.""";1;-1;-1;-1;-1;;;;
Dahlan iskan it kan?:p@rflyzlrstra: Orang yg hebat tidak dihasilkan melalui kemudahan kesenangan dan kenyamanan. Mereka dibentuk;1;-1;-1;-1;-1;;;;
@Prabowo08 luar biasa sangat kuat dan sigap. impresinya selalu seperti itu ketika dengar nama Prabowo Subianto;1;1;-1;-1;-1;;;;
ARB ni semacam pencitraan banget deh...;0;-1;-1;-1;-1;;;;
Liat pak Surya Paloh jas berdasi dg brewok dicukur keliatan gagah   pas bener2 sosok Ketua Nasdem di pertemuan Pemred di Bali..;1;-1;-1;1;-1;;;;
Hikmah bangun pagi : Liat iklan Wiranto pake baju karate ngomongin soal anti korupsi.. Dunia semakin gila;-1;0;-1;-1;-1;;;;
RT @aulmuh: Eh budiono itu masih ada ga sih? Jadi kangen sosok jusuf kalla;1;-1;-1;-1;-1;;;;
Gagal presiden tambah bangkrutRT @CiputraWay: Aburizal Bakrie Berada Di Ambang Kebangkrutan http://t.co/76FwLKy9I6;0;-1;-1;-1;-1;;;;
"WIRANTO Yg terbukti bersih Korupsi @jokowi_do2 @Prabowo08 @pramonoanung @anismatta. @wiranto1947 @aburizalbakrie @hatarajasa @GWirjawan""";1;-1;-1;-1;-1;;;;
11. Habis itu ada Dahlan iskan juga yang sepertinya sedang asik blusukan untuk pencitraan...;-1;0;-1;-1;-1;;;;
"iklan ARB ""jangan pernah hianati indonesia"" kalau sekedar korupsi boleh dong..??#harapankoruptor";0;-1;-1;-1;-1;;;;
menurut teori komunikasi sih sesering apapun ARB muncul di tv gak akan mempengaruhi suara yang memilih waktu pemilu;0;-1;-1;-1;-1;;;;
Prabowo sama Wiranto masih berani-beraninya nyalonin diri jd capres 2014. Yg gini-gini yg bikin negara makin ga beres.;0;-1;-1;-1;-1;;;;
kalo gua bisa milih presiden dan wakil nya nanti di pemilu 2014 gua mau Pak Mahfud MD dan Pak Abraham Samad.;-1;-1;-1;1;-1;;;;
"Dari dulu mpe sekarang kalo Pak Jusuf Kalla emang tokoh idola aku sih... Cerdas bijaksana tetep semangat n low profile nya itu lhoohhh :D""";1;-1;-1;-1;-1;;;;
Meniru kesederhanaan dan kedermawanan sosok Jusuf kalla JK.;1;-1;-1;-1;-1;;;;
Jusuf kalla pencitraan ini mah..;0;-1;-1;-1;-1;;;;
"Jusuf Kalla sosok yang jauh berbeda dengan wakil presiden kita yg sekarang. Yang cuma gak beda jauh sama manequin.""";1;-1;-1;-1;-1;;;;
"Jusuf Kalla sosok yang penuh kesederhanaan. Kagum terhadap beliau :)""";1;-1;-1;-1;-1;;;;
"HitamPutihT7 Bapak Jusuf Kalla jadikan panutan agar bisa mengendalikan KORUPSI di indonesia ini. Hidup yg SEDERHANA bs mngndlkn KORUPSI:)""";1;-1;-1;-1;-1;;;;
 waaaa ! pak jusuf kalla idola kuuu sejak dulu kala !;1;-1;-1;-1;-1;;;;
Pak jusuf kalla hebat :));1;-1;-1;-1;-1;;;;
@HitamPutihT7 salut banget sama pak Jusuf Kalla.. Panutan banget sifat sederhana dan kedermawananya :);1;-1;-1;-1;-1;;;;
"Kenapa jusuf kalla ngomongnya ngelantur - udah tua mungkin buat apa juga dia korupsi bau tanah sudah.""";0;-1;-1;-1;-1;;;;
Ada si Sosok kharismatik Bapak Jusuf Kalla at @HitamPutihT7 :);1;-1;-1;-1;-1;;;;
Hebat nih pak jusuf kalla :D;1;-1;-1;-1;-1;;;;
